Parent Lineage,Child Lineage,Embedding Distance,Fitness Difference
BA.5.2.1,BF.1,1.2966870069503784,-0.07566202
BA.5.2.1,BF.10,0.9519180059432983,-0.004176086
BA.5.2.1,BF.11,0.9145333170890808,0.15055205
BA.5.2.1,BF.13,1.1944373846054077,0.1101529
BA.5.2.1,BF.14,1.0501712560653687,0.16112697
BA.5.2.1,BF.21,0.9519180059432983,-0.040244207
BA.5.2.1,BF.26,0.9519180059432983,0.04767665
BA.5.2.1,BF.27,0.9519180059432983,-0.057634853
BA.5.2.1,BF.28,1.1328450441360474,-0.03907607
BA.5.2.1,BF.4,1.175620436668396,-0.017496228
BA.5.2.1,BF.5,0.9510307312011719,0.017989801
BA.5.2.1,BF.7,0.9145333170890808,0.18829419
BA.5.2.1,BF.8,1.1606833934783936,-0.05768082
BA.5.2.1,BF.9,0.9519180059432983,-0.067692265
