Parent Lineage,Child Lineage,Embedding Distance,Fitness Difference
BQ.1.1,BQ.1.1.1,0.9093543291091919,0.043149948
BQ.1.1,BQ.1.1.18,0.6264359951019287,-0.0012790989
BQ.1.1,BQ.1.1.3,1.0433706045150757,-0.026842993
BQ.1.1,BQ.1.1.32,1.2464799880981445,0.03225171
BQ.1.1,BQ.1.1.4,0.6264359951019287,-0.0075485576
BQ.1.1,BQ.1.1.41,1.0996301174163818,0.035248972
BQ.1.1,BQ.1.1.5,0.6264359951019287,-0.034750815
BQ.1.1,BQ.1.1.51,0.6264359951019287,-0.0097453045
BQ.1.1,BQ.1.1.68,0.6264359951019287,-0.004871173
BQ.1.1,BQ.1.1.69,0.7659807205200195,-0.009539543
BQ.1.1,BQ.1.1.7,0.9878408908843994,0.009297762
