Parent Lineage,Child Lineage,Embedding Distance,Fitness Difference
BA.5.2.1,BF.1,0.7672361731529236,-0.074505664
BA.5.2.1,BF.10,0.6357990503311157,0.015686572
BA.5.2.1,BF.13,0.7713192701339722,0.07186272
BA.5.2.1,BF.21,0.498515248298645,-0.050269008
BA.5.2.1,BF.26,0.498515248298645,0.051984016
BA.5.2.1,BF.27,0.498515248298645,-0.039923757
BA.5.2.1,BF.28,1.004478096961975,-0.04217888
BA.5.2.1,BF.4,0.6113455295562744,-0.03722805
BA.5.2.1,BF.5,0.9466631412506104,0.01998783
BA.5.2.1,BF.7,0.7722351551055908,0.24138707
BA.5.2.1,BF.8,0.6964464783668518,-0.028493727
BA.5.2.1,BF.9,0.7187293767929077,0.0069594835
