Parent Lineage,Child Lineage,Embedding Distance,Fitness Difference
BQ.1,BQ.1.1,0.6814629435539246,0.09790612757205963
BQ.1,BQ.1.2,0.7743299007415771,0.07749815285205841
BQ.1,BQ.1.3,0.9104861617088318,
BQ.1,BQ.1.5,0.8736103773117065,0.020702114328742027
BQ.1,BQ.1.10,0.6603275537490845,0.06474128365516663
BQ.1,BQ.1.11,1.359994649887085,0.02679404616355896
BQ.1,BQ.1.12,0.6603275537490845,0.009523437358438969
BQ.1,BQ.1.13,0.8736103773117065,0.051546867936849594
BQ.1,BQ.1.14,0.6603275537490845,0.029345562681555748
BQ.1,BQ.1.23,0.8736103773117065,0.030471641570329666
BQ.1,BQ.1.32,0.8223766088485718,0.02758953534066677
