,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Lev_Dist,0.00416644885981195,0.010708972945637213,0.3890614796547172,0.6975618421924593,-0.016924856151803072,0.025257753871426973
"Lev_Dist:C(Group, Sum)[S.B.1.617.2_2021-04-28_to_2021-06-27]",0.029828371140187982,0.024305693405625516,1.2272174524049682,0.22089525204305957,-0.01804165297316029,0.07769839525353625
"Lev_Dist:C(Group, Sum)[S.B.1.617.2_2021-06-27_to_2021-08-26]",-0.00955665304457517,0.014269582633842507,-0.6697219736413382,0.503653122074518,-0.03766057311670763,0.01854726702755729
"Lev_Dist:C(Group, Sum)[S.B.1.617.2_2021-08-26_to_2021-10-25]",-0.03700244688235461,0.017493530211699294,-2.115207532988863,0.03540175588197728,-0.0714559265295476,-0.0025489672351616116
"Lev_Dist:C(Group, Sum)[S.B.1.617.2_2021-10-25_to_2021-12-24]",0.0018150433302722756,0.015562929364409762,0.11662607262248617,0.9072500087934274,-0.02883612104984792,0.03246620771039247
"Lev_Dist:C(Group, Sum)[S.B.1.617.2_2021-12-24_to_2022-02-22]",-0.019532706359811743,0.06512103268651907,-0.2999446654023236,0.7644686078168309,-0.14778847561378844,0.10872306289416495
"Lev_Dist:C(Group, Sum)[S.B.1_2020-05-03_to_2020-07-02]",-0.3266239245264776,0.09147029952266997,-3.570819448836802,0.0004266994514804638,-0.506774532482059,-0.1464733165708963
"Lev_Dist:C(Group, Sum)[S.B.1_2020-07-02_to_2020-08-31]",0.020778607040188326,0.02867067906610883,0.7247336902023502,0.4692931630062248,-0.03568824931878492,0.07724546339916157
"Lev_Dist:C(Group, Sum)[S.B.1_2020-08-31_to_2020-10-30]",0.008545225641070586,0.03241679375859932,0.26360489888990835,0.792301528520935,-0.055299597586331226,0.0723900488684724
"Lev_Dist:C(Group, Sum)[S.B.1_2020-10-30_to_2020-12-29]",0.025514059970018623,0.02035672853637178,1.2533477530258426,0.21125006698071655,-0.014578484177660816,0.06560660411769806
"Lev_Dist:C(Group, Sum)[S.B.1_2020-12-29_to_2021-02-27]",0.044838818522541096,0.014788529075644642,3.0319998894539513,0.0026849923785405507,0.015712834267008098,0.0739648027780741
"Lev_Dist:C(Group, Sum)[S.B.1_2021-02-27_to_2021-04-28]",0.053747991735383895,0.013327094114749829,4.0329865815157735,7.319359163087018e-05,0.027500301287421636,0.07999568218334616
"Lev_Dist:C(Group, Sum)[S.BA.1_2021-10-25_to_2021-12-24]",0.0967624261401884,0.06042607702273494,1.60133556417674,0.11056542372863315,-0.02224663547678543,0.21577148775716223
"Lev_Dist:C(Group, Sum)[S.BA.2_2022-04-23_to_2022-06-22]",0.09866312314018935,0.09463748627562009,1.0425374449702214,0.29816966816407653,-0.08772525403698958,0.28505150031736826
"Lev_Dist:C(Group, Sum)[S.BA.5.1_2022-08-21_to_2022-10-20]",-0.1584655100598107,0.09275015331678671,-1.708520195309804,0.08878101713748672,-0.34113678800671793,0.024205767887096552
"Lev_Dist:C(Group, Sum)[S.BA.5.2.1_2022-04-23_to_2022-06-22]",0.0045758113901889445,0.07361810324751021,0.06215606200562767,0.9504882160875905,-0.14041492468243955,0.14956654746281745
"Lev_Dist:C(Group, Sum)[S.BA.5.2.1_2022-06-22_to_2022-08-21]",0.017954440003824547,0.045207878651540814,0.3971528976667125,0.6915935632307747,-0.0710824043703295,0.10699128437797858
"Lev_Dist:C(Group, Sum)[S.BA.5.2.1_2022-08-21_to_2022-10-20]",0.03768831388724632,0.029031216582257907,1.2981996045690727,0.19541510188347633,-0.01948862053055031,0.09486524830504295
"Lev_Dist:C(Group, Sum)[S.BA.5.2.1_2022-10-20_to_2022-12-19]",-0.06108218139314521,0.06949954684715486,-0.8788860383144464,0.380307018110129,-0.19796142725206256,0.07579706446577213
"Lev_Dist:C(Group, Sum)[S.BA.5.2_2022-08-21_to_2022-10-20]",0.01675557796746114,0.03381596570480907,0.4954931086021973,0.6206873415252544,-0.04984491216011968,0.08335606809504195
"Lev_Dist:C(Group, Sum)[S.BA.5.2_2022-10-20_to_2022-12-19]",0.043208954992040076,0.032118309951334786,1.3453059970312784,0.1797454186167794,-0.02004800485649224,0.10646591484057238
"Lev_Dist:C(Group, Sum)[S.BQ.1.1_2022-10-20_to_2022-12-19]",0.0791803788068557,0.07751814780786623,1.0214431206884538,0.30803195020771124,-0.07349148876166196,0.23185224637537338
"Lev_Dist:C(Group, Sum)[S.BQ.1.1_2022-12-19_to_2023-02-17]",0.017359916637246835,0.03548077647021208,0.48927668344071806,0.62507482177086,-0.052519415618144195,0.08723924889263787
"Lev_Dist:C(Group, Sum)[S.BQ.1_2022-12-19_to_2023-02-17]",-0.0148116460305437,0.0428936688203624,-0.34531077517697306,0.7301511096941165,-0.09929065786015416,0.06966736579906675
"Lev_Dist:C(Group, Sum)[S.EG.5.1_2023-08-16_to_2023-10-15]",0.02196755387143757,0.048219031805966706,0.45557849356733177,0.6490885509337959,-0.07299975180270105,0.11693485954557617
"Lev_Dist:C(Group, Sum)[S.XBB.1.5_2023-02-17_to_2023-04-18]",-0.0067470308098118185,0.08984484758663885,-0.07509646898009979,0.9401980134858288,-0.18369631378879775,0.17020225216917412
