,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Lev_Dist,0.013593736660117752,0.00834203534652787,1.6295467587266639,0.10466154644281661,-0.002848908206803955,0.03003638152703946
"Lev_Dist:C(Group, Sum)[S.B.1.617.2_2021-04-28_to_2021-06-27]",0.020401083339882213,0.02053625428990824,0.9934179355145377,0.3216230426716864,-0.02007708801266475,0.06087925469242918
"Lev_Dist:C(Group, Sum)[S.B.1.617.2_2021-06-27_to_2021-08-26]",-0.018983940844881062,0.011635096848767191,-1.6316100408646383,0.10422551518009764,-0.041917404625533436,0.003949522935771312
"Lev_Dist:C(Group, Sum)[S.B.1.617.2_2021-08-26_to_2021-10-25]",-0.04642973468266058,0.014529975623512733,-3.1954447746992045,0.001606111609293823,-0.07506917567974158,-0.01779029368557957
"Lev_Dist:C(Group, Sum)[S.B.1.617.2_2021-10-25_to_2021-12-24]",-0.007612244470033596,0.012802927822606055,-0.5945705994368492,0.5527557093563124,-0.03284757214477941,0.017623083204712217
"Lev_Dist:C(Group, Sum)[S.B.1_2020-07-02_to_2020-08-31]",0.011351319239882276,0.024347097263312516,0.4662288533667231,0.6415237151643212,-0.03663824891840599,0.05934088739817053
"Lev_Dist:C(Group, Sum)[S.B.1_2020-08-31_to_2020-10-30]",-0.0008820621592356472,0.02760523524557705,-0.03195271300493527,0.974539403799863,-0.055293612908631315,0.05352948859016002
"Lev_Dist:C(Group, Sum)[S.B.1_2020-10-30_to_2020-12-29]",0.016086772169712653,0.0170669536245364,0.9425684585317801,0.3469595936074258,-0.017553202458934374,0.04972674679835968
"Lev_Dist:C(Group, Sum)[S.B.1_2020-12-29_to_2021-02-27]",0.03541153072223524,0.012104936746566645,2.925379245147985,0.003809444149350282,0.011551984725083665,0.05927107671938682
"Lev_Dist:C(Group, Sum)[S.B.1_2021-02-27_to_2021-04-28]",0.04432070393507798,0.010776680766062295,4.112648866305092,5.56870090221981e-05,0.02307922900482595,0.06556217886533001
"Lev_Dist:C(Group, Sum)[S.BA.5.2.1_2022-06-22_to_2022-08-21]",0.00852715220351836,0.03868430834535593,0.2204292274632861,0.8257460561957052,-0.06772190664396421,0.08477621105100094
"Lev_Dist:C(Group, Sum)[S.BA.5.2.1_2022-08-21_to_2022-10-20]",0.02826102608694085,0.024661085400531992,1.1459765711014163,0.25307873148429755,-0.020347431253455114,0.07686948342733681
"Lev_Dist:C(Group, Sum)[S.BA.5.2.1_2022-10-20_to_2022-12-19]",-0.07050946919345084,0.05964506263359881,-1.182150979144617,0.23845157016445978,-0.1880734139875429,0.047054475600641216
"Lev_Dist:C(Group, Sum)[S.BA.5.2_2022-08-21_to_2022-10-20]",0.007328290167154998,0.02882005386685651,0.2542774625269747,0.7995242359687382,-0.049477739907449414,0.06413432024175941
"Lev_Dist:C(Group, Sum)[S.BQ.1.1_2022-12-19_to_2023-02-17]",0.007932628836940896,0.030264317153951576,0.2621116080891038,0.7934863543203564,-0.05172012956445266,0.06758538723833446
"Lev_Dist:C(Group, Sum)[S.BQ.1_2022-12-19_to_2023-02-17]",-0.024238933830849237,0.036683328720038884,-0.6607615687179531,0.5094726046162665,-0.09654394353465029,0.04806607587295181
"Lev_Dist:C(Group, Sum)[S.XBB.1.5_2023-02-17_to_2023-04-18]",-0.016174318610117068,0.07717185340051527,-0.20958831358077856,0.8341874638082802,-0.1682846042270395,0.13593596700680538
