,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Emb_Dist,0.0016828347065032704,0.02844996364566754,0.05915068038266328,0.9528870340867505,-0.05439372566161475,0.0577593950746213
"Emb_Dist:C(Group, Sum)[S.B.1.617.2_2021-04-28_to_2021-06-27]",0.015529877392821701,0.048394574345476185,0.32090120851064785,0.7485969627276354,-0.07985868983252653,0.11091844461816994
"Emb_Dist:C(Group, Sum)[S.B.1.617.2_2021-06-27_to_2021-08-26]",0.03644714647142206,0.03327720447458746,1.0952586627057381,0.2746287384104882,-0.02914419096726683,0.10203848391011094
"Emb_Dist:C(Group, Sum)[S.B.1.617.2_2021-08-26_to_2021-10-25]",-0.0219826908728344,0.03191666175753445,-0.688752822580044,0.4917213772227944,-0.08489231817802564,0.04092693643235684
"Emb_Dist:C(Group, Sum)[S.B.1.617.2_2021-10-25_to_2021-12-24]",0.01211958928953393,0.031871165659726586,0.38026815269102715,0.7041217794525034,-0.0507003625170517,0.07493954109611956
"Emb_Dist:C(Group, Sum)[S.B.1_2020-07-02_to_2020-08-31]",0.07836016382603529,0.09691157618193882,0.8085738248537442,0.4196541321981907,-0.11265828244756977,0.26937861009964037
"Emb_Dist:C(Group, Sum)[S.B.1_2020-08-31_to_2020-10-30]",0.07487486313480331,0.1094390967899291,0.6841692350451992,0.4946050829350862,-0.14083606691087813,0.2905857931804848
"Emb_Dist:C(Group, Sum)[S.B.1_2020-10-30_to_2020-12-29]",0.04672643650351556,0.04814955023039853,0.9704438832746456,0.33291574861296447,-0.04817917370466654,0.14163204671169766
"Emb_Dist:C(Group, Sum)[S.B.1_2020-12-29_to_2021-02-27]",0.13976734832393256,0.04472694781684861,3.124902439045534,0.0020239895809087164,0.051607889824409184,0.22792680682345595
"Emb_Dist:C(Group, Sum)[S.B.1_2021-02-27_to_2021-04-28]",0.1763751098050991,0.03963484530676961,4.45000121584868,1.37805151590307e-05,0.09825248640889842,0.25449773320129976
"Emb_Dist:C(Group, Sum)[S.BA.5.2.1_2022-06-22_to_2022-08-21]",0.06324917927949493,0.14474477074645017,0.4369703924592115,0.6625713756593345,-0.22205132148120715,0.348549680040197
"Emb_Dist:C(Group, Sum)[S.BA.5.2.1_2022-08-21_to_2022-10-20]",-0.22530490933140648,0.1728447023926455,-1.303510644020717,0.1937945644213134,-0.5659920366946287,0.11538221803181578
"Emb_Dist:C(Group, Sum)[S.BA.5.2.1_2022-10-20_to_2022-12-19]",-0.29888168021689726,0.20051237357133497,-1.4905897072260534,0.13753487146856969,-0.6941034232450253,0.09634006281123075
"Emb_Dist:C(Group, Sum)[S.BA.5.2_2022-08-21_to_2022-10-20]",-0.05508003513307553,0.10525846847495067,-0.5232836457826995,0.6013157795083296,-0.26255069960227523,0.15239062933612418
"Emb_Dist:C(Group, Sum)[S.BQ.1.1_2022-12-19_to_2023-02-17]",0.06280589228009455,0.11054503141742494,0.5681475818025288,0.570527640061636,-0.15508490030159433,0.2806966848617834
"Emb_Dist:C(Group, Sum)[S.BQ.1_2022-12-19_to_2023-02-17]",-0.04026521743232705,0.12697828785270715,-0.31710316868529587,0.7514730323753052,-0.290546930017114,0.21001649515245993
"Emb_Dist:C(Group, Sum)[S.XBB.1.5_2023-02-17_to_2023-04-18]",-0.047912206603417794,0.1580134882110258,-0.3032159288796372,0.7620185047960188,-0.3593661339616644,0.26354172075482885
